competition_id	guild_id	user_id	event_id	pos	round_type	average	best	value_1	value_2	value_3	value_4	value_5
CubePlaceTest	989593171161935902	584918586737295361	222	1	f	166	149	245	162	175	149	161
CubePlaceTest	989593171161935902	835250153648685077	222	2	f	216	186	234	186	216	199	699
CubePlaceTest	989593171161935902	1044457140254937118	222	3	f	249	197	240	246	313	197	263
CubePlaceTest	989593171161935902	793274367194431519	222	4	f	281	176	295	297	289	176	261
CubePlaceTest	989593171161935902	672834026909859890	222	5	f	300	191	378	326	321	191	253
CubePlaceTest	989593171161935902	809634520705662996	222	6	f	336	286	348	385	309	286	352
CubePlaceTest	989593171161935902	993557358120796160	222	7	f	353	214	416	403	240	214	507
CubePlaceTest	989593171161935902	801942351236169750	222	8	f	357	334	334	362	337	390	373
CubePlaceTest	989593171161935902	805158017066729522	222	9	f	379	306	380	325	458	306	432
CubePlaceTest	989593171161935902	359474370105704450	222	10	f	404	389	398	403	411	420	389
CubePlaceTest	989593171161935902	853731232374194216	222	11	f	503	379	379	540	492	658	479
CubePlaceTest	989593171161935902	461197983199920129	222	12	f	506	402	726	630	469	402	421
CubePlaceTest	989593171161935902	455772987082407936	222	13	f	509	439	518	533	477	439	814
CubePlaceTest	989593171161935902	941746607764934676	222	14	f	593	494	710	543	626	611	494
CubePlaceTest	989593171161935902	959026653462429696	222	15	f	597	389	625	389	775	1089	391
CubePlaceTest	989593171161935902	781167989687844874	222	16	f	630	453	690	489	711	453	741
CubePlaceTest	989593171161935902	853622541321764864	222	17	f	732	633	778	633	687	731	1044
CubePlaceTest	989593171161935902	764252818835374091	222	18	f	787	556	556	708	897	757	897
CubePlaceTest	989593171161935902	751922673403166762	222	19	f	909	687	1170	705	687	1041	981
CubePlaceTest	989593171161935902	793274367194431519	333	1	f	778	685	1020	805	732	799	685
CubePlaceTest	989593171161935902	584918586737295361	333	2	f	902	803	927	1041	950	831	803
CubePlaceTest	989593171161935902	461197983199920129	333	3	f	951	879	1033	924	879	897	1055
CubePlaceTest	989593171161935902	672834026909859890	333	4	f	976	882	1124	998	1004	927	882
CubePlaceTest	989593171161935902	809634520705662996	333	5	f	1023	930	930	962	1098	1178	1010
CubePlaceTest	989593171161935902	455772987082407936	333	6	f	1038	877	877	1138	1160	973	1004
CubePlaceTest	989593171161935902	801942351236169750	333	7	f	1189	1155	1193	1155	1260	1166	1209
CubePlaceTest	989593171161935902	749171552582369280	333	8	f	1336	1172	1365	1336	1806	1308	1172
CubePlaceTest	989593171161935902	853731232374194216	333	9	f	1380	1167	1532	1175	1559	1435	1167
CubePlaceTest	989593171161935902	993557358120796160	333	10	f	1433	1245	1566	1449	1245	1666	1285
CubePlaceTest	989593171161935902	764252818835374091	333	11	f	1462	1239	1403	1239	1725	1399	1586
CubePlaceTest	989593171161935902	359474370105704450	333	12	f	1488	1280	1620	1724	1280	1372	1473
CubePlaceTest	989593171161935902	805158017066729522	333	13	f	1540	1278	1278	1668	1592	1361	1807
CubePlaceTest	989593171161935902	941746607764934676	333	14	f	1554	1367	1367	1724	1534	1452	1676
CubePlaceTest	989593171161935902	781167989687844874	333	15	f	1699	1523	1602	1767	1728	2113	1523
CubePlaceTest	989593171161935902	784219681388101672	333	16	f	1876	1766	1766	1807	1882	2055	1940
CubePlaceTest	989593171161935902	853622541321764864	333	17	f	1934	1859	2125	1993	1939	1859	1871
CubePlaceTest	989593171161935902	751922673403166762	333	18	f	2501	2068	2068	2525	2838	2427	2551
CubePlaceTest	989593171161935902	959026653462429696	333	19	f	5118	4782	5810	5613	4879	4863	4782
CubePlaceTest	989593171161935902	707699979455823925	clock	1	f	498	393	567	505	615	393	423
CubePlaceTest	989593171161935902	461197983199920129	clock	2	f	860	805	900	805	889	882	810
CubePlaceTest	989593171161935902	584918586737295361	clock	3	f	952	880	1008	944	977	880	936
CubePlaceTest	989593171161935902	809634520705662996	clock	4	f	1064	980	1115	1045	1032	980	1168
CubePlaceTest	989593171161935902	853622541321764864	clock	5	f	1349	1132	1375	1132	1459	1215	1580
CubePlaceTest	989593171161935902	993557358120796160	clock	6	f	1377	1067	1196	1067	1617	-1	1318
CubePlaceTest	989593171161935902	672834026909859890	clock	7	f	1605	1294	1757	1524	1294	-1	1534
CubePlaceTest	989593171161935902	359474370105704450	pyram	1	f	375	244	322	328	476	594	244
CubePlaceTest	989593171161935902	809634520705662996	pyram	2	f	492	457	550	468	457	557	458
CubePlaceTest	989593171161935902	993557358120796160	pyram	3	f	537	346	658	450	504	854	346
CubePlaceTest	989593171161935902	805158017066729522	pyram	4	f	565	435	710	584	642	435	469
CubePlaceTest	989593171161935902	672834026909859890	pyram	5	f	804	424	843	698	872	881	424
CubePlaceTest	989593171161935902	584918586737295361	pyram	6	f	824	738	1244	909	738	822	742
CubePlaceTest	989593171161935902	801942351236169750	pyram	7	f	898	815	911	889	896	972	815
CubePlaceTest	989593171161935902	853622541321764864	pyram	8	f	1036	887	1313	1059	1137	887	913
CubePlaceTest	989593171161935902	941746607764934676	pyram	9	f	1045	895	980	1201	954	895	1276
CubePlaceTest	989593171161935902	461197983199920129	pyram	10	f	1083	897	1036	1071	1332	1142	897
CubePlaceTest	989593171161935902	781167989687844874	pyram	11	f	1107	776	1302	957	1404	1062	776
CubePlaceTest	989593171161935902	853731232374194216	pyram	12	f	1615	980	1760	980	1644	-1	1442
CubePlaceTest	989593171161935902	751922673403166762	pyram	13	f	1963	1734	1989	1874	2498	1734	2026
CubePlaceTest	989593171161935902	959026653462429696	pyram	14	f	2192	1994	2731	2202	2104	2272	1994

