competition_id	event_id	day_number	round	advance
CubePlaceTest	333	1	f	3
CubePlaceTest	222	1	f	3
CubePlaceTest	pyram	1	f	3
CubePlaceTest	clock	1	f	3

DCC	777	1	f	3
DCC	222	1	1	0.75
DCC	333mbf	1	f	3
DCC	2-4	1	1	12
DCC	333oh	1	1	12

DCC	333	2	1	0.75
DCC	222oh	2	1	12
DCC	444bf	2	f	3
DCC	555	2	1	8
DCC	sq1	2	1	8
DCC	666	2	f	3

DCC	pyram	3	1	12
DCC	222	3	2	16
DCC	skewb	3	1	12
DCC	333bf	3	1	8
DCC	555bf	3	f	3
DCC	444	3	1	12

DCC	333	4	2	16
DCC	clock	4	f	3
DCC	minx	4	f	3
DCC	2-4	4	f	3
DCC	222bf	4	f	3
DCC	mirror	4	1	8

DCC	333bf	5	f	3
DCC	333oh	5	f	3
DCC	555	5	f	3
DCC	skewb	5	f	3
DCC	444	5	f	3
DCC	222oh	5	f	3

DCC	333	6	f	3
DCC	222	6	f	3
DCC	pyram	6	f	3
DCC	sq1	6	f	3
DCC	mirror	6	f	3
DCC	vcube	6	f	3

DCC	333fm	1	f	3
DCC	333fm	2	f	3
DCC	333fm	3	f	3
DCC	333fm	4	f	3
DCC	333fm	5	f	3
DCC	333fm	6	f	3
