```diff
Rank User                     1         2         3         4         5   Average      Best
--------------------------------------------------------------------------------------------
  1  chez                 10.20      8.05      7.32      7.99      6.85      7.78      6.85
  2  Redboom (Reboom Labs  3.30     12.00     31.00      8.29      1.11      7.86      1.11
  3  ILikeCakes            9.27     10.41      9.50      8.31      8.03      9.02      8.03
  4  NotMe                10.33      9.24      8.79      8.97     10.55      9.51      8.79
  5  reddd120             11.24      9.98     10.04      9.27      8.82      9.76      8.82
  6  yews                  9.30      9.62     10.98     11.78     10.10     10.23      9.30
  7  shady                 8.77     11.38     11.60      9.73     10.04     10.38      8.77
  8  RobotMania           11.93     11.55     12.60     11.66     12.09     11.89     11.55
  9  Aleph-0              13.65     13.36     18.06     13.08     11.72     13.36     11.72
  10 Rhinoonapunk         15.32     11.75     15.59     14.35     11.67     13.80     11.67
  11 Seeyouall597         15.66     14.49     12.45     16.66     12.85     14.33     12.45
  12 •_•                  14.03     12.39     17.25     13.99     15.86     14.62     12.39
  13 Daniel 2022PERE46    16.20     17.24     12.80     13.72     14.73     14.88     12.80
  14 joaquin              12.78     16.68     15.92     13.61     18.07     15.40     12.78
  15 RealEpicWorldGuy     13.67     17.24     15.34     14.52     16.76     15.54     13.67
  16 ignDart              16.02     17.67     17.28     21.13     15.23     16.99     15.23
  17 used to be hot, i’m  17.66     18.07     18.82     20.55     19.40     18.76     17.66
  18 abcdefghijklmnopqrst 21.25     19.93     19.39     18.59     18.71     19.34     18.59
  19 Linc                 20.68     25.25     28.38     24.27     25.51     25.01     20.68
  20 Ch.Saketh AKA Jperm  58.10     56.13     48.79     48.63     47.82     51.18     47.82
```


